0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
(17.011918767573547+2620.955543182105j),(-13.001950292543883+69.51042656398461j),(-1.1473818259762203+4.438224205973951j),0j,(-2.862586649053443+11.09580604793651j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
(-13.001950292543883+69.51042656398461j),(16.180396687476936+2655.2113823868003j),0j,(-1.9149113798863076+7.396929019255952j),0j,(-1.2635350150467441+4.881262029959254j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
(-1.1473818259762203+4.438224205973951j),0j,(3.5221797524390497+422.4160285837445j),0j,0j,0j,0j,0j,(-2.0384337416377885+7.875766729055092j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.33139328554191205+12.088650720420185j)
0j,(-1.9149113798863076+7.396929019255952j),0j,(4.251048368169884+295.5636155447363j),0j,0j,0j,0j,(-2.336136988283576+9.039455436007717j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
(-2.862586649053443+11.09580604793651j),0j,0j,0j,(5.6040487381196975+212.28704033519725j),0j,0j,0j,0j,(-2.7414620890662547+10.617153616866243j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(-1.2635350150467441+4.881262029959254j),0j,0j,0j,(4.870682876968238+11524.418562024268j),0j,0j,0j,(-3.6071478619214936+15.700175945773408j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(3.9525003915212653+67.73688528054052j),(-3.9525003915212653+15.263114719459475j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(-3.9525003915212653+15.263114719459475j),(6.889095385555231+503.3825097883858j),(-1.4682974970169829+5.677187746077376j),(-1.4682974970169829+5.677187746077376j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,(-2.0384337416377885+7.875766729055092j),(-2.336136988283576+9.039455436007717j),0j,0j,0j,(-1.4682974970169829+5.677187746077376j),(6.5356271168524644+477.1369505828622j),0j,(-0.3362907232592803+12.26730073106679j),(-0.3362907232592803+12.26730073106679j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,(-2.7414620890662547+10.617153616866243j),(-3.6071478619214936+15.700175945773408j),0j,(-1.4682974970169829+5.677187746077376j),0j,(8.489635817654811+12581.465521728831j),(-0.33139328554191205+12.088650720420185j),(-0.33139328554191205+12.088650720420185j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
