0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
(17.0119-85.0445j),(-13.002+69.5104j),(-1.1474+4.4382j),0j,(-2.8626+11.0958j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
(-13.002+69.5104j),(3.1784-12.2782j),0j,(-1.9149+7.3969j),0j,(-1.2635+4.8813j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
(-1.1474+4.4382j),0j,(2.3649-19.7858j),0j,0j,0j,0j,0j,(-2.0384+7.8758j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.3265+11.91j)
0j,(-1.9149+7.3969j),0j,(2.3361-9.0395j),0j,0j,0j,0j,(-2.3361+9.0395j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
(-2.8626+11.0958j),0j,0j,0j,(2.7415-10.6172j),0j,0j,0j,0j,(-2.7415+10.6172j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(-1.2635+4.8813j),0j,0j,0j,(3.6071-15.7002j),0j,0j,0j,(-3.6071+15.7002j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(3.9525-15.2631j),(-3.9525+15.2631j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(-3.9525+15.2631j),(2.9366-11.3544j),(-1.4683+5.6772j),(-1.4683+5.6772j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,(-2.0384+7.8758j),(-2.3361+9.0395j),0j,0j,0j,(-1.4683+5.6772j),(0.653-23.82j),0j,(-0.3265+11.91j),(-0.3265+11.91j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,(-2.7415+10.6172j),(-3.6071+15.7002j),0j,(-1.4683+5.6772j),0j,(0.653-23.82j),(-0.3265+11.91j),(-0.3265+11.91j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(-0.3265+11.91j),(-0.3265+11.91j),(5.6886-44.1997j),0j,(-2.6488+20.669j),(-3.0399+23.5307j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(-0.3265+11.91j),(-0.3265+11.91j),0j,(3.956-30.8531j),(-2.6488+20.669j),0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.3073+10.1842j),0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.6488+20.669j),(-2.6488+20.669j),(1.4595-11.3734j),0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.4595+11.3734j),0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-3.0399+23.5307j),0j,0j,(3.2505-25.2891j),0j,(-3.2505+25.2891j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(14.8428-115.9881j),(-7.2337+56.8836j),0j,0j,0j,0j,(-2.5812+20.0763j),0j,0j,(-2.4466+18.952j)
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-3.2505+25.2891j),(-7.2337+56.8836j),(10.3697-80.5653j),(-4.8408+37.9933j),0j,(-5.5288+42.572j),0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.8408+37.9933j),(9.7448-77.7192j),(-8.547+68.3761j),0j,0j,0j,(-1.1978+9.3431j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-8.547+68.3761j),(9.6817-75.9865j),0j,0j,(-4.8408+37.9933j),0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-5.5288+42.572j),0j,0j,(6.3983-49.681j),(-3.1992+24.8405j),0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-3.1992+24.8405j),(11.8044-91.0624j),0j,0j,(-5.9022+45.5312j),0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.5812+20.0763j),0j,0j,(-4.8408+37.9933j),0j,0j,0j,(-1.8619+14.5103j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.1978+9.3431j),0j,0j,0j,(-1.8619+14.5103j),0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.3073+10.1842j),(-1.4595+11.3734j),0j,0j,0j,0j,0j,0j,(-5.9022+45.5312j),0j,0j,0j,0j
0j,0j,(-0.3265+11.91j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.4466+18.952j),0j,0j,0j,0j,0j,0j,0j,0j,0j
